traffic_split,imbalance_ratio,scheme,mse,variance,bias2
0.5,1,original,0.006229518663234064,0.006131279963128402,9.823870010566152e-05
0.5,1,min,0.004453307648280704,0.004342404956398887,0.00011090269188181718
0.5,1,harmonic,0.004334831910912692,0.00423836100483956,9.647090607313287e-05
0.5,1,clipped_5,0.015270515235517442,0.00047695958707108494,0.01479355564844636
0.5,2,original,0.0053676002094101795,0.005325323490548773,4.227671886140607e-05
0.5,2,min,0.004088802785119113,0.004004716879659502,8.408590545961125e-05
0.5,2,harmonic,0.0038944269267167145,0.0038311477334219725,6.327919329474232e-05
0.5,2,clipped_5,0.02732014946408296,0.00015784384974768366,0.027162305614335275
0.5,5,original,0.004738501457206062,0.00472610256704738,1.2398890158681967e-05
0.5,5,min,0.003458582977477321,0.0034182159220409805,4.0367055436340836e-05
0.5,5,harmonic,0.003200714253274957,0.003184340163251813,1.637409002314406e-05
0.5,5,clipped_5,0.033210518936667696,8.18653465350776e-05,0.03312865359013262
0.5,10,original,0.004943304397513578,0.004915466140841837,2.783825667174126e-05
0.5,10,min,0.003751767865578895,0.003686725264867743,6.504260071115209e-05
0.5,10,harmonic,0.003453222853617019,0.0034230283287297776,3.0194524887241424e-05
0.5,10,clipped_5,0.033655690999246014,7.599180274784275e-05,0.03357969919649818
0.5,20,original,0.004851514378355562,0.00482630586172157,2.5208516633991328e-05
0.5,20,min,0.003502371070546473,0.0034503315141003097,5.203955644616282e-05
0.5,20,harmonic,0.0032077840858888416,0.0031878862779792126,1.989780790962912e-05
0.5,20,clipped_5,0.033646571403774604,7.668483270204744e-05,0.03356988657107256
0.5,50,original,0.004799540990710336,0.004788027367983194,1.1513622727142753e-05
0.5,50,min,0.003511484712254244,0.0034739491049299563,3.753560732428758e-05
0.5,50,harmonic,0.0031689134499543656,0.0031564219228041937,1.2491527150171214e-05
0.5,50,clipped_5,0.03367291303510139,7.3447394884932e-05,0.03359946564021645
0.5,100,original,0.00462844523606215,0.004619245540552019,9.199695510131553e-06
0.5,100,min,0.003460165907052468,0.0034216111706620936,3.855473639037431e-05
0.5,100,harmonic,0.00313784674100979,0.0031256771774866915,1.2169563523098251e-05
0.5,100,clipped_5,0.033723618327474905,7.38356168639082e-05,0.033649782710611
0.6,1,original,0.006581705821282996,0.006487503108183394,9.420271309960179e-05
0.6,1,min,0.004634518178779425,0.0045245432252327055,0.00010997495354671885
0.6,1,harmonic,0.004478512126414652,0.004385448636160373,9.306349025427774e-05
0.6,1,clipped_5,0.018571006353209078,0.00036639101603045825,0.01820461533717862
0.6,2,original,0.005754508466876353,0.005707968843708935,4.6539623167418156e-05
0.6,2,min,0.0038935745949717575,0.003825293434080572,6.828116089118547e-05
0.6,2,harmonic,0.0037678609962954975,0.003718438275165087,4.942272113041066e-05
0.6,2,clipped_5,0.030752271765215566,0.00011158956314963266,0.030640682202065932
0.6,5,original,0.005228951762927149,0.00520947457625158,1.9477186675569435e-05
0.6,5,min,0.0037015806576714072,0.0036578448892711788,4.373576840022897e-05
0.6,5,harmonic,0.0033850781633327142,0.0033652534836279744,1.9824679704739905e-05
0.6,5,clipped_5,0.036286533111099264,5.5035112323366656e-05,0.0362314979987759
0.6,10,original,0.005197765894493556,0.00518328396432368,1.4481930169874809e-05
0.6,10,min,0.0035426595025321956,0.0035036409192684957,3.901858326370047e-05
0.6,10,harmonic,0.0032591264306453286,0.003245315131022535,1.3811299622793678e-05
0.6,10,clipped_5,0.0368029595404913,5.009440562614946e-05,0.03675286513486515
0.6,20,original,0.0052430686620520296,0.005228554387758639,1.4514274293389714e-05
0.6,20,min,0.0035032063782981736,0.0034749962888975146,2.8210089400658964e-05
0.6,20,harmonic,0.0031851896359636573,0.0031778914509409026,7.298185022755203e-06
0.6,20,clipped_5,0.03678678061218309,4.9201436012737774e-05,0.03673757917617035
0.6,50,original,0.005075619814082909,0.005066679731629076,8.940082453833258e-06
0.6,50,min,0.0034436204624365184,0.0034151175059402815,2.8502956496236926e-05
0.6,50,harmonic,0.003130622598518645,0.003123190001480743,7.4325970379019e-06
0.6,50,clipped_5,0.03683654502637139,4.729056665912314e-05,0.03678925445971226
0.6,100,original,0.0050572200270254985,0.005043916960498384,1.3303066527113272e-05
0.6,100,min,0.0033980835761928765,0.0033644765771860706,3.360699900680533e-05
0.6,100,harmonic,0.0031061682431637165,0.0030963354838513496,9.832759312367004e-06
0.6,100,clipped_5,0.03682342542654056,4.8730028006796646e-05,0.03677469539853376
0.7,1,original,0.007116347409568788,0.00702341383645803,9.293357311075753e-05
0.7,1,min,0.004831229440294765,0.004715554640503129,0.00011567479979163566
0.7,1,harmonic,0.0046646283292391885,0.004568438966501027,9.61893627381618e-05
0.7,1,clipped_5,0.021700044640365783,0.0002906866461948623,0.021409357994170923
0.7,2,original,0.0060378814285885676,0.00600864537614503,2.9236052443538155e-05
0.7,2,min,0.004042425842418994,0.003985618671850665,5.680717056832886e-05
0.7,2,harmonic,0.003835982352549838,0.0037996872017162023,3.629515083363585e-05
0.7,2,clipped_5,0.033749298537132544,8.383699609970481e-05,0.03366546154103284
0.7,5,original,0.005630465383899956,0.0056187324901220805,1.17328937778756e-05
0.7,5,min,0.0036556229876543384,0.003622137055329617,3.3485932324721314e-05
0.7,5,harmonic,0.003396447946221036,0.003382105870205358,1.4342076015677894e-05
0.7,5,clipped_5,0.038880261256775364,3.8265716807987756e-05,0.03884199553996738
0.7,10,original,0.005535650539366262,0.0055160494105740655,1.9601128792196652e-05
0.7,10,min,0.0035518430174752034,0.0035204518142068347,3.1391203268368905e-05
0.7,10,harmonic,0.003311381769934468,0.0032997216547082974,1.1660115226170826e-05
0.7,10,clipped_5,0.039376539468932506,3.463971343100668e-05,0.039341899755501494
0.7,20,original,0.005673200249602758,0.00564380726879503,2.9392980807727623e-05
0.7,20,min,0.0035154423535027936,0.003471987139432594,4.345521407019954e-05
0.7,20,harmonic,0.0032042125287596824,0.0031889569213513296,1.52556074083524e-05
0.7,20,clipped_5,0.0393434089244449,3.3857790782418224e-05,0.03930955113366248
0.7,50,original,0.005508689400094312,0.005497316515429151,1.137288466516045e-05
0.7,50,min,0.0033681709665156464,0.003351196212580926,1.6974753934719692e-05
0.7,50,harmonic,0.0031285686233487034,0.0031249478652513305,3.6207580973728517e-06
0.7,50,clipped_5,0.039388745533410055,3.280627644236711e-05,0.03935593925696769
0.7,100,original,0.005304798619406496,0.005298770558990399,6.028060416098224e-06
0.7,100,min,0.0033312426235245418,0.0033136990088403423,1.7543614684199046e-05
0.7,100,harmonic,0.0030821668737647983,0.0030794652471625348,2.701626602263514e-06
0.7,100,clipped_5,0.039385619040384526,3.336064980196686e-05,0.03935225839058256
0.8,1,original,0.007538983142718375,0.007451837038142828,8.714610457554528e-05
