model,scheme,mse,variance,bias2
trust,original,0.00486035126131153,0.0048528712690637296,7.479992247800529e-06
trust,min,0.0027425224562219967,0.002730528681297437,1.1993774924559848e-05
trust,harmonic,0.002590005435553087,0.0025873472688666952,2.6581666863913537e-06
trust,clipped_5,0.04152296591374598,2.0434423260891513e-05,0.041502531490485085
cascade,original,0.01357917776942974,0.002813754251667443,0.010765423517762298
cascade,min,0.0122001457120584,0.0017016921703439717,0.010498453541714426
cascade,harmonic,0.012395208787836332,0.001500974460216158,0.010894234327620175
cascade,clipped_5,0.04587687940474571,1.6433049694925827e-05,0.04586044635505078
pos_dependent_rel,original,0.03442229455407964,0.03334764712747096,0.001074647426608675
pos_dependent_rel,min,0.028648033042243108,0.027583179353706487,0.001064853688536626
pos_dependent_rel,harmonic,0.026836914573502867,0.025921128450580932,0.0009157861229219398
pos_dependent_rel,clipped_5,0.04089564547270136,0.0007489129338743253,0.040146732538827036
