traffic_split,imbalance_ratio,scheme,mse,variance,bias2
0.8,1,original,0.00017022487123799656,0.0001695026233033527,7.222479346438325e-07
0.8,1,min,0.00010786000379728478,0.00010734740657280166,5.125972244831175e-07
0.8,1,harmonic,0.0001049456352844517,0.00010453149296381138,4.1414232064032607e-07
0.8,1,clipped_5,0.024141964876068917,6.832191358649663e-06,0.024135132684710264
0.8,2,original,0.0001774935676620838,0.00017694672213954438,5.46845522539377e-07
0.8,2,min,0.00011730671136867006,0.00011696367591926091,3.430354494091461e-07
0.8,2,harmonic,0.00011302361871099523,0.00011275870071254126,2.6491799845398585e-07
0.8,2,clipped_5,0.035942988410020534,2.2357511177479727e-06,0.035940752658902786
0.8,5,original,0.00014236925208025355,0.00014205757512399052,3.116769562630487e-07
0.8,5,min,9.244996935036276e-05,9.223119002642232e-05,2.1877932394043975e-07
0.8,5,harmonic,9.111982171134679e-05,9.092368211174831e-05,1.9613959959848935e-07
0.8,5,clipped_5,0.04074664377006153,1.1399876227144986e-06,0.04074550378243881
0.8,10,original,0.0001476409972484068,0.00014751674070913106,1.24256539275749e-07
0.8,10,min,8.79852547502285e-05,8.753394955582727e-05,4.5130519440121374e-07
0.8,10,harmonic,8.622996794424517e-05,8.577767423279399e-05,4.522937114511861e-07
0.8,10,clipped_5,0.04119622395458605,9.13768967987642e-07,0.04119531018561806
0.8,20,original,0.00013204899238795537,0.00013187184297906897,1.7714940888641304e-07
0.8,20,min,8.710269430932815e-05,8.697681559467547e-05,1.25878714652698e-07
0.8,20,harmonic,8.391926173078611e-05,8.382233762031122e-05,9.692411047490033e-08
0.8,20,clipped_5,0.041213302918427924,8.942027533581741e-07,0.04121240871567457
0.8,50,original,0.00014699171626273122,0.00014589998264777227,1.0917336149589184e-06
0.8,50,min,9.052922692213432e-05,9.021133428701503e-05,3.178926351192919e-07
0.8,50,harmonic,8.855972994878344e-05,8.824142488635732e-05,3.1830506242612023e-07
0.8,50,clipped_5,0.04121339331117032,9.049349604276529e-07,0.041212488376209895
0.8,100,original,0.00014562381396033484,0.00014534186212085211,2.8195183948275267e-07
0.8,100,min,9.15663006051667e-05,9.117130927325273e-05,3.949913319139548e-07
0.8,100,harmonic,8.649879625378167e-05,8.60288873315629e-05,4.699089222187645e-07
0.8,100,clipped_5,0.04119798575727604,9.107100564770602e-07,0.04119707504721955
