base_impressions,mean_impressions,scheme,mse,variance,bias2
2,41.2,original,0.07135328023896562,0.07078297137134794,0.00057030886761768
2,41.2,min,0.044878773378240554,0.04454346556526093,0.00033530781297962646
2,41.2,harmonic,0.039638199484968314,0.03951387444565025,0.00012432503931806622
2,41.2,clipped_5,0.04305190922544195,0.00011791544015469009,0.04293399378528725
5,103.0,original,0.031320291469675174,0.03110717954689477,0.00021311192278040237
5,103.0,min,0.020691560139621337,0.020548343248152467,0.0001432168914688702
5,103.0,harmonic,0.015905791532317186,0.015864854080942077,4.09374513751053e-05
5,103.0,clipped_5,0.04223515417717199,6.797701221465454e-05,0.04216717716495733
10,206.0,original,0.009445062009874555,0.009425177087289568,1.9884922584986842e-05
10,206.0,min,0.006483407410740291,0.006442384294887793,4.102311585249756e-05
10,206.0,harmonic,0.006240733163133429,0.006232058301647222,8.674861486206321e-06
10,206.0,clipped_5,0.04178697732159232,3.9884654974756587e-05,0.041747092666617566
20,412.0,original,0.005127194524812443,0.005116222337770581,1.0972187041862956e-05
20,412.0,min,0.0031629233375032964,0.0031500960769475727,1.2827260555723518e-05
20,412.0,harmonic,0.0029448735620794596,0.0029422709229750947,2.60263910436513e-06
20,412.0,clipped_5,0.04148332486195021,2.1718035890398307e-05,0.041461606826059816
30,618.0,original,0.0040685848833292085,0.0040654223592551594,3.1625240740496824e-06
30,618.0,min,0.002267502011074041,0.002259521258826445,7.980752247595695e-06
30,618.0,harmonic,0.0020927042533161726,0.002090268953966679,2.435299349493009e-06
30,618.0,clipped_5,0.041466976038531826,1.9633072831529002e-05,0.0414473429657003
50,1030.0,original,0.0028236365000253705,0.002820841245941344,2.795254084027509e-06
50,1030.0,min,0.0013087536399459762,0.0013078016072636505,9.520326823255274e-07
50,1030.0,harmonic,0.0012467089712461603,0.0012449315231502689,1.777448095891426e-06
50,1030.0,clipped_5,0.0413556059991277,1.2785597947850524e-05,0.04134282040117985
75,1545.0,original,0.0017927174213420859,0.001789379021188033,3.33840015405331e-06
75,1545.0,min,0.000809797253756151,0.0008086479334553492,1.1493203008016992e-06
75,1545.0,harmonic,0.0007801593090641821,0.000779607653003924,5.516560602581821e-07
75,1545.0,clipped_5,0.041278284544973766,1.1372373775750811e-05,0.041266912171198024
100,2060.0,original,0.0013303892233291266,0.0013290058379858052,1.383385343321563e-06
100,2060.0,min,0.0005745474841229604,0.0005743823365830248,1.6514753993543114e-07
100,2060.0,harmonic,0.0005408348558954035,0.0005404578092127623,3.770466826413834e-07
100,2060.0,clipped_5,0.04131816747155489,9.425599058160796e-06,0.041308741872496724
