split,ratio,base_imp,scheme,mse,variance,bias2
0.5,1,2,original,0.10613713556371178,0.10246331299717666,inf
0.5,1,2,harmonic,0.07504218205486893,0.07248357583894323,inf
0.5,1,5,original,0.04005465681545959,0.03867855852904047,0.0013760982864191164
0.5,1,5,harmonic,0.0367222367599112,0.035309983078903664,0.001412253681007539
0.5,1,10,original,0.018744405088071507,0.01819819162383023,0.0005462134642412787
0.5,1,10,harmonic,0.014169886377176658,0.013523392771405648,0.0006464936057710092
0.5,1,20,original,0.006315295958855419,0.006263972887258949,5.132307159646969e-05
0.5,1,20,harmonic,0.0042756900875694104,0.004209972654061768,6.571743350764224e-05
0.5,1,50,original,0.002329753591895017,0.002320079906061952,9.673685833064535e-06
0.5,1,50,harmonic,0.0013868381194563966,0.001384107087428648,2.7310320277485755e-06
0.5,1,100,original,0.0011009437464521283,0.001095770916660427,5.172829791701246e-06
0.5,1,100,harmonic,0.0006538774016826607,0.000637877237964236,1.600016371842467e-05
0.5,5,2,original,11.447266757169533,11.251007629882938,0.19625912728659609
0.5,5,2,harmonic,1.3183825815839445,1.2897670736868296,0.028615507897114978
0.5,5,5,original,0.020016319290921604,0.019687013381485687,0.00032930590943591926
0.5,5,5,harmonic,0.019173729721723144,0.018765515481145602,0.00040821424057754113
0.5,5,10,original,0.012038429315122525,0.011623921802536817,0.0004145075125857065
0.5,5,10,harmonic,0.009312175199714232,0.008967281629960253,0.0003448935697539789
0.5,5,20,original,0.00610261689344514,0.0060167657446992895,8.585114874584984e-05
0.5,5,20,harmonic,0.0042028488442049814,0.004117821931972137,8.502691223284277e-05
0.5,5,50,original,0.002074313216550439,0.0020615910745100776,1.2722142040361335e-05
0.5,5,50,harmonic,0.0012088110485330866,0.0012014430158369294,7.368032696157247e-06
0.5,5,100,original,0.0011883713253390397,0.0011808039093590473,7.567415979992376e-06
0.5,5,100,harmonic,0.000558999077726605,0.0005538897323496205,5.1093453769844325e-06
0.5,10,2,original,0.2526810987943989,0.24392224463178006,0.008758854162618833
0.5,10,2,harmonic,0.06418693510785775,0.06322886016687304,0.0009580749409847282
0.5,10,5,original,0.0295518701396758,0.029086160273936068,0.0004657098657397366
0.5,10,5,harmonic,0.01925692877253604,0.01904954629058428,0.00020738248195176014
0.5,10,10,original,0.013597760296410763,0.013184735427906514,0.00041302486850424883
0.5,10,10,harmonic,0.007613108837358778,0.007319368885029753,0.00029373995232902364
0.5,10,20,original,0.00565969316800455,0.005636910664148927,2.2782503855621603e-05
0.5,10,20,harmonic,0.0036167648720823336,0.0035849145416432353,3.1850330439098395e-05
0.5,10,50,original,0.002163330663108593,0.0021444589468933377,1.887171621525461e-05
0.5,10,50,harmonic,0.0012787494689523754,0.0012672591971522194,1.1490271800155921e-05
0.5,10,100,original,0.0011789430600880513,0.00117735139434917,1.5916657388813214e-06
0.5,10,100,harmonic,0.000563561181817313,0.000563307636736167,2.535450811461728e-07
0.5,20,2,original,0.3792937455478399,0.3623996017486427,0.01689414379919717
0.5,20,2,harmonic,0.06919717126937397,0.06782600130918637,0.0013711699601875894
0.5,20,5,original,0.024108020460880043,0.02357256030169786,0.0005354601591821822
0.5,20,5,harmonic,0.01772543669008774,0.0174178832987721,0.00030755339131564245
0.5,20,10,original,0.013388087055334046,0.013218508665154774,0.0001695783901792716
0.5,20,10,harmonic,0.00815785984561766,0.008065430906213224,9.242893940443853e-05
0.5,20,20,original,0.004855028976702934,0.004813656130868756,4.13728458341775e-05
0.5,20,20,harmonic,0.0032288420735058637,0.003185204981862225,4.363709164363867e-05
0.5,20,50,original,0.0019806099441597056,0.0019695909128810067,1.1019031278699409e-05
0.5,20,50,harmonic,0.001059808331110023,0.0010543579558914616,5.450375218561618e-06
0.5,20,100,original,0.000940696255210946,0.0009384761616607312,2.220093550214857e-06
0.5,20,100,harmonic,0.0005537902528349261,0.0005514263333612263,2.3639194736997794e-06
0.5,50,2,original,0.14858667271955645,0.14297194311519906,0.005614729604357374
0.5,50,2,harmonic,0.040298860934091144,0.04006680019391161,0.00023206074017952588
0.5,50,5,original,0.018196476366105323,0.017786004025019307,0.0004104723410860168
0.5,50,5,harmonic,0.02035425649108127,0.019735262170895544,0.0006189943201857293
0.5,50,10,original,0.015771247263780465,0.015486206302466873,0.0002850409613135905
0.5,50,10,harmonic,0.009307488727556292,0.009184779988716281,0.00012270873884001336
0.5,50,20,original,0.004358093560083794,0.0043511398986197675,6.953661464026843e-06
0.5,50,20,harmonic,0.00286550607248614,0.002863439498045911,2.0665744402293683e-06
0.5,50,50,original,0.0020140183506410264,0.0019840093253419527,3.0009025299073143e-05
0.5,50,50,harmonic,0.001284100495069646,0.0012604374374279802,2.3663057641665418e-05
0.5,50,100,original,0.0010634606265633004,0.0010540062230145857,9.454403548714854e-06
0.5,50,100,harmonic,0.0006641942207749109,0.0006523562543790833,1.1837966395827513e-05
0.5,100,2,original,0.15639581512727146,0.14683266821622748,0.009563146911043966
0.5,100,2,harmonic,0.07267784126312934,0.07081159104459883,0.0018662502185305258
0.5,100,5,original,0.043074275683841194,0.04215349176040214,0.0009207839234390547
0.5,100,5,harmonic,0.024313854116112595,0.024062377816698923,0.0002514762994136663
0.5,100,10,original,0.009947691689389514,0.009874978817405166,7.271287198434873e-05
0.5,100,10,harmonic,0.007573683464910029,0.007547586590255337,2.6096874654692968e-05
0.5,100,20,original,0.004500325131288527,0.004463932568850489,3.6392562438038085e-05
0.5,100,20,harmonic,0.0028280496170683396,0.00278599837570766,4.205124136067986e-05
