config,position_k,imbalance_ratio,traffic_split,alpha,beta,D_k,D_kp,term1,term2,total
systematic,1,1,0.6,0.0,1.0,-3.567330110474927e-06,-0.00046748766766392257,-0.0004710549977743975,3.567330110474927e-06,-0.00046748766766392257
systematic,1,1,0.8,0.0,1.0,2.3344671442049976e-05,-0.0008903854111115263,-0.0008670407396694763,-2.3344671442049976e-05,-0.0008903854111115263
systematic,1,1,0.95,0.0,1.0,2.4563271537768523e-06,-0.0005982757358535993,-0.0005958194086998225,-2.4563271537768523e-06,-0.0005982757358535993
systematic,1,2,0.6,0.0,1.0,-4.006726516621415e-06,-0.0004703883436256945,-0.0004743950701423159,4.006726516621415e-06,-0.0004703883436256945
systematic,1,2,0.8,0.0,1.0,2.1293556378078077e-05,-0.0005864381302757741,-0.000565144573897696,-2.1293556378078077e-05,-0.0005864381302757741
systematic,1,2,0.95,0.0,1.0,3.895578759730936e-05,-0.0009784823474713504,-0.0009395265598740411,-3.895578759730936e-05,-0.0009784823474713504
systematic,1,5,0.6,0.0,1.0,-4.5546772344241094e-05,-0.0004948276465726206,-0.0005403744189168617,4.5546772344241094e-05,-0.0004948276465726206
systematic,1,5,0.8,0.0,1.0,3.848869604190097e-06,-0.0005936517834208825,-0.0005898029138166924,-3.848869604190097e-06,-0.0005936517834208825
systematic,1,5,0.95,0.0,1.0,2.6097879254301275e-05,-0.0008428683703254759,-0.0008167704910711746,-2.6097879254301275e-05,-0.0008428683703254759
systematic,1,10,0.6,0.0,1.0,1.303955032828317e-06,-0.00037328527360481903,-0.0003719813185719907,-1.303955032828317e-06,-0.00037328527360481903
systematic,1,10,0.8,0.0,1.0,-2.462980503955322e-10,-0.000858564299390317,-0.0008585645456883675,2.462980503955322e-10,-0.000858564299390317
systematic,1,10,0.95,0.0,1.0,6.8762421859463395e-06,-0.0006884670952302461,-0.0006815908530442997,-6.8762421859463395e-06,-0.0006884670952302461
systematic,1,20,0.6,0.0,1.0,-2.2670239529455405e-05,-0.0006446427636967474,-0.0006673130032262028,2.2670239529455405e-05,-0.0006446427636967474
systematic,1,20,0.8,0.0,1.0,-2.4803975310339502e-05,-0.0003894383363893804,-0.0004142423116997199,2.4803975310339502e-05,-0.0003894383363893804
systematic,1,20,0.95,0.0,1.0,2.744368072689284e-06,-0.0007654549953958895,-0.0007627106273232002,-2.744368072689284e-06,-0.0007654549953958895
systematic,1,50,0.6,0.0,1.0,-2.8288008897221865e-05,-0.0004255474680837755,-0.0004538354769809973,2.8288008897221865e-05,-0.0004255474680837755
systematic,1,50,0.8,0.0,1.0,-9.148405244525289e-06,-0.0005426787329933256,-0.0005518271382378509,9.148405244525289e-06,-0.0005426787329933256
systematic,1,50,0.95,0.0,1.0,-2.7636179077938545e-06,-0.0007358276861510428,-0.0007385913040588366,2.7636179077938545e-06,-0.0007358276861510428
systematic,1,100,0.6,0.0,1.0,-5.1938503411892836e-05,-0.0007201001223326503,-0.0007720386257445432,5.1938503411892836e-05,-0.0007201001223326503
systematic,1,100,0.8,0.0,1.0,-4.0007944845777327e-05,-0.0006368251109939086,-0.0006768330558396859,4.0007944845777327e-05,-0.0006368251109939086
systematic,1,100,0.95,0.0,1.0,-1.5423776284676017e-05,-0.0010216762822184253,-0.0010371000585031012,1.5423776284676017e-05,-0.0010216762822184253
adversarial_mixed,1,1,,0.0,1.0,-2.682094483812407e-05,-4.499698561896096e-05,-7.181793045708503e-05,2.682094483812407e-05,-4.499698561896096e-05
adversarial_mixed,1,2,,0.0,1.0,-1.4367317095404506e-05,-4.349389941357489e-05,-5.78612165089794e-05,1.4367317095404506e-05,-4.349389941357489e-05
adversarial_mixed,1,5,,0.0,1.0,-4.436916032732194e-05,-3.912563220354699e-06,-4.828172354767664e-05,4.436916032732194e-05,-3.912563220354699e-06
adversarial_mixed,1,10,,0.0,1.0,-2.71517451787857e-05,-2.097537729809138e-05,-4.812712247687708e-05,2.71517451787857e-05,-2.097537729809138e-05
adversarial_mixed,1,20,,0.0,1.0,-5.0960574574093667e-05,-1.2560922182712248e-05,-6.352149675680591e-05,5.0960574574093667e-05,-1.2560922182712248e-05
adversarial_mixed,1,50,,0.0,1.0,-5.2360244457253045e-05,-1.3481682688095374e-05,-6.584192714534842e-05,5.2360244457253045e-05,-1.3481682688095374e-05
adversarial_mixed,1,100,,0.0,1.0,-5.104788540065495e-05,-7.807666431115535e-06,-5.885555183177048e-05,5.104788540065495e-05,-7.807666431115535e-06
systematic,2,1,0.6,1.0,2.0000000000000004,-1.0919940523951982e-05,-0.0004293935573840067,-0.0008806269958159176,1.0919940523951987e-05,-0.0008697070552919656
systematic,2,1,0.8,1.0,2.0000000000000004,-1.7156708937233946e-06,-0.00046592125526003446,-0.0009352738523075159,1.7156708937233955e-06,-0.0009335581814137925
systematic,2,1,0.95,1.0,2.0000000000000004,1.0335164698367237e-05,-0.0005263715088459491,-0.001032072688295164,-1.0335164698367242e-05,-0.0010424078529935312
systematic,2,2,0.6,1.0,2.0000000000000004,2.9491982589851043e-06,-0.00025500268171693913,-0.0005041069669159082,-2.9491982589851056e-06,-0.0005070561651748933
systematic,2,2,0.8,1.0,2.0000000000000004,3.459914673233528e-05,-0.0007058044844073672,-0.001342410675350064,-3.459914673233529e-05,-0.0013770098220823991
systematic,2,2,0.95,1.0,2.0000000000000004,3.628046604312377e-05,-0.0007256423402221272,-0.0013787237483580072,-3.628046604312378e-05,-0.001415004214401131
systematic,2,5,0.6,1.0,2.0000000000000004,5.8901109982285795e-06,-0.0005737481585121338,-0.0011357160950278106,-5.890110998228582e-06,-0.0011416062060260392
systematic,2,5,0.8,1.0,2.0000000000000004,-3.873075000804851e-06,-0.0007142757070117828,-0.0014362975640251755,3.873075000804853e-06,-0.0014324244890243708
systematic,2,5,0.95,1.0,2.0000000000000004,1.3637451745074757e-05,-0.0008556248914949,-0.0016839748794996508,-1.3637451745074763e-05,-0.0016976123312447255
systematic,2,10,0.6,1.0,2.0000000000000004,-2.4107800392480854e-05,-0.0005884377531895023,-0.0012250911071639665,2.4107800392480864e-05,-0.0012009833067714857
systematic,2,10,0.8,1.0,2.0000000000000004,-1.476635074307159e-06,-0.0004461844701985512,-0.0008953222105457169,1.4766350743071597e-06,-0.0008938455754714097
systematic,2,10,0.95,1.0,2.0000000000000004,1.0395312613335132e-05,-0.0006772426159032955,-0.001333694606579921,-1.0395312613335137e-05,-0.0013440899191932561
systematic,2,20,0.6,1.0,2.0000000000000004,-4.367998167183285e-05,-0.0006300159803180426,-0.001347391923979751,4.367998167183287e-05,-0.0013037119423079183
systematic,2,20,0.8,1.0,2.0000000000000004,1.9498691793172872e-05,-0.0009004356148025375,-0.0017618738460187299,-1.9498691793172882e-05,-0.0017813725378119027
systematic,2,20,0.95,1.0,2.0000000000000004,-2.526858615527848e-06,-0.0007173353287406949,-0.0014397243747124456,2.526858615527849e-06,-0.0014371975160969177
systematic,2,50,0.6,1.0,2.0000000000000004,-7.070073332258726e-05,-0.0007677941435165272,-0.0016769897536782295,7.070073332258729e-05,-0.0016062890203556422
systematic,2,50,0.8,1.0,2.0000000000000004,-1.7752000830879475e-05,-0.0005296914715814034,-0.0010948869448245658,1.7752000830879482e-05,-0.0010771349439936864
systematic,2,50,0.95,1.0,2.0000000000000004,-1.0374419141772826e-05,-0.0007118014139618616,-0.001444351666207269,1.0374419141772831e-05,-0.0014339772470654962
systematic,2,100,0.6,1.0,2.0000000000000004,-1.9268129185549755e-05,-0.00048218257452371707,-0.0010029014074185339,1.9268129185549766e-05,-0.000983633278232984
systematic,2,100,0.8,1.0,2.0000000000000004,-1.8518209842073826e-05,-0.0006536372460482952,-0.0013443109117807384,1.8518209842073833e-05,-0.0013257927019386646
systematic,2,100,0.95,1.0,2.0000000000000004,-1.466857003132572e-05,-0.0007650654825295238,-0.0015594681051216996,1.4668570031325726e-05,-0.0015447995350903738
adversarial_mixed,2,1,,1.0,2.0000000000000004,-3.0343814846082377e-05,-3.7604360525884104e-05,-0.000135896350743933,3.034381484608239e-05,-0.0001055525358978506
adversarial_mixed,2,2,,1.0,2.0000000000000004,-2.7321951134683076e-05,-1.677709668046983e-05,-8.819809563030582e-05,2.732195113468309e-05,-6.0876144495622733e-05
adversarial_mixed,2,5,,1.0,2.0000000000000004,-1.7768466383480917e-05,-3.537684337332397e-05,-0.0001062906195136098,1.7768466383480924e-05,-8.852215313012889e-05
adversarial_mixed,2,10,,1.0,2.0000000000000004,-2.18696895405323e-05,-2.0651020741314756e-05,-8.504142056369413e-05,2.186968954053231e-05,-6.317173102316181e-05
adversarial_mixed,2,20,,1.0,2.0000000000000004,-4.152249800306641e-05,-3.351349389282902e-06,-8.974769478469864e-05,4.152249800306643e-05,-4.822519678163221e-05
adversarial_mixed,2,50,,1.0,2.0000000000000004,-1.3909234624465627e-05,-3.641360216173305e-05,-0.00010064567357239739,1.3909234624465633e-05,-8.673643894793176e-05
