traffic_split,imbalance_ratio,scheme,mse,variance,bias2
0.5,1,original,0.006327241450427406,0.00616733560454938,0.00015990584587802724
0.5,1,min,0.004801993916134057,0.004633579909027658,0.00016841400710639864
0.5,1,harmonic,0.00468985383422583,0.0045362372184986266,0.0001536166157272036
0.5,1,oracle,0.004743586941141549,0.004587176684233985,0.00015641025690756518
0.5,2,original,0.0052275168535077425,0.005176715539476119,5.0801314031622595e-05
0.5,2,min,0.003456980274265618,0.0034094363917919765,4.754388247364163e-05
0.5,2,harmonic,0.0033310476042222514,0.0032933444486492464,3.7703155573006004e-05
0.5,2,oracle,0.003344741881369139,0.003305063205380554,3.967867598858473e-05
0.5,5,original,0.004301364456491935,0.00429774609341363,3.61836307830585e-06
0.5,5,min,0.0033970074561842935,0.0033629806754297297,3.4026780754563915e-05
0.5,5,harmonic,0.0031520687235954033,0.0031411313411583977,1.0937382437005564e-05
0.5,5,oracle,0.003195860023151605,0.003180620968710792,1.523905444081304e-05
0.5,10,original,0.004947924320307067,0.004910878827366168,3.7045492940899086e-05
0.5,10,min,0.003515808092666681,0.0034532146664345608,6.259342623212017e-05
0.5,10,harmonic,0.003395193267984593,0.003352359811483091,4.283345650150208e-05
0.5,10,oracle,0.003334517270718435,0.0032851242100162105,4.939306070222501e-05
0.5,20,original,0.005118255951903906,0.0050654310653101215,5.282488659378455e-05
0.5,20,min,0.0036929760617813506,0.003623426999713123,6.954906206822723e-05
0.5,20,harmonic,0.003360401136794806,0.003332203332454321,2.819780434048445e-05
0.5,20,oracle,0.003415569404188397,0.003369866560800071,4.5702843388325666e-05
0.5,50,original,0.0049645847473644405,0.004949527934926602,1.5056812437839529e-05
0.5,50,min,0.0043197537101423095,0.00426798924123581,5.176446890649957e-05
0.5,50,harmonic,0.003583561715791483,0.003562341132160764,2.1220583630719227e-05
0.5,50,oracle,0.0036001241933244317,0.0035758564833112613,2.4267710013170568e-05
0.5,100,original,0.004406403865260184,0.004389915863228479,1.648800203170511e-05
0.5,100,min,0.003308448153938922,0.003275495813435866,3.295234050305474e-05
0.5,100,harmonic,0.0029593031454899234,0.0029489782282445384,1.0324917245384928e-05
0.5,100,oracle,0.0030179290491539573,0.0030039414396144,1.3987609539557437e-05
0.6,1,original,0.006692501903815641,0.006540340360824892,0.00015216154299074893
0.6,1,min,0.004976121980630384,0.004808826542638303,0.00016729543799208054
0.6,1,harmonic,0.004884575338052456,0.004730265466114107,0.0001543098719383487
0.6,1,oracle,0.0049459634675127805,0.0047892324014874674,0.00015673106602531132
0.6,2,original,0.0053365172514075725,0.005290177602974723,4.633964843285013e-05
0.6,2,min,0.0035809223555749088,0.003534143540557423,4.677881501748554e-05
0.6,2,harmonic,0.0034297708659824346,0.0033981940384475114,3.157682753492326e-05
0.6,2,oracle,0.003447232452093256,0.003413688872362,3.354357973125607e-05
0.6,5,original,0.005554501042877591,0.005471274228843999,8.32268140335923e-05
0.6,5,min,0.003632321700057948,0.003528571983369244,0.0001037497166887033
0.6,5,harmonic,0.0033991345903494528,0.0033317780491984848,6.735654115096819e-05
0.6,5,oracle,0.003380921506146141,0.003305515705277609,7.540580086853184e-05
0.6,10,original,0.005150034585334281,0.00514434184356568,5.692741768601751e-06
0.6,10,min,0.003555587127116397,0.003514545389300283,4.1041737816113695e-05
0.6,10,harmonic,0.0031846748603582414,0.00316906001509405,1.5614845264191455e-05
0.6,10,oracle,0.0032745619441876886,0.0032498234097728647,2.4738534414824194e-05
0.6,20,original,0.004903471272882986,0.004888746143705127,1.472512917785888e-05
0.6,20,min,0.003646270859354916,0.003599365709194916,4.69051501599996e-05
0.6,20,harmonic,0.0032313377977144847,0.0032156667306905105,1.5671067023974647e-05
0.6,20,oracle,0.003292233370120106,0.0032695914440868433,2.2641926033263464e-05
0.6,50,original,0.00499969346213276,0.004977285928412942,2.2407533719819392e-05
0.6,50,min,0.003700718321854063,0.003640566374510748,6.015194734331484e-05
0.6,50,harmonic,0.0033460850682765636,0.0033224740103402635,2.3611057936300473e-05
0.6,50,oracle,0.003425488769403801,0.003395392860517105,3.009590888669615e-05
0.6,100,original,0.005388391248658986,0.005360176029998771,2.8215218660214924e-05
0.6,100,min,0.0031894532985773222,0.003154632574094384,3.4820724482937836e-05
0.6,100,harmonic,0.002914356468681296,0.0029081805228199247,6.17594586137094e-06
0.6,100,oracle,0.0029471406289191112,0.00293543910551698,1.1701523402131276e-05
0.7,1,original,0.007353601381580506,0.007218167192464836,0.00013543418911567042
0.7,1,min,0.005092277206583161,0.00493505890778796,0.0001572182987952
0.7,1,harmonic,0.005028274633075909,0.004883378181806892,0.00014489645126901645
0.7,1,oracle,0.005056348723164109,0.0049091872240049055,0.00014716149915920332
0.7,2,original,0.00619459073075772,0.006163636362586327,3.095436817139291e-05
0.7,2,min,0.0039271882499552335,0.0038901554605009154,3.703278945431862e-05
0.7,2,harmonic,0.003727130652097134,0.00370164561880052,2.5485033296614402e-05
0.7,2,oracle,0.003767852111142019,0.0037396005861946467,2.8251524947372427e-05
0.7,5,original,0.0061311064254900415,0.006105757424495728,2.5349000994312973e-05
0.7,5,min,0.0037667524055090286,0.00373161043740194,3.5141968107088345e-05
0.7,5,harmonic,0.003470605415049204,0.003453141156891079,1.746425815812497e-05
0.7,5,oracle,0.0034937856908742806,0.003474370337746488,1.9415353127792127e-05
0.7,10,original,0.00556705914050441,0.00555128526123461,1.577387926980115e-05
0.7,10,min,0.003732927885224878,0.0037000963520966907,3.2831533128187834e-05
0.7,10,harmonic,0.003566831946010524,0.003551603814235358,1.5228131775165895e-05
0.7,10,oracle,0.003520414446692438,0.0035033373498679606,1.7077096824478264e-05
0.7,20,original,0.006014876429504406,0.005949102473465761,6.577395603864534e-05
0.7,20,min,0.0034213123691694534,0.0033675707868691734,5.3741582300279486e-05
0.7,20,harmonic,0.00302814518981536,0.0030051479708054314,2.2997219009928215e-05
0.7,20,oracle,0.0031102841755777082,0.003080465004304385,2.981917127332347e-05
0.7,50,original,0.006835207515865761,0.006761407512492347,7.380000337341467e-05
0.7,50,min,0.003526327873755219,0.0034875673120347826,3.8760561720436544e-05
0.7,50,harmonic,0.0031849863792199964,0.003172070853012893,1.2915526207103894e-05
0.7,50,oracle,0.003280095826275404,0.0032640995664352385,1.599625984016512e-05
0.7,100,original,0.00480523036809694,0.004795817108507067,9.413259589873053e-06
0.7,100,min,0.003470421695316528,0.0034403531778888054,3.006851742772314e-05
0.7,100,harmonic,0.0030756767553126634,0.003069882855533476,5.793899779186731e-06
0.7,100,oracle,0.0031391065412618075,0.003129031769075774,1.0074772186033135e-05
0.8,1,original,0.00777958013961213,0.007624972893402149,0.00015460724620998067
0.8,1,min,0.005375186312702077,0.005210367769754739,0.00016481854294733833
0.8,1,harmonic,0.005283483614739433,0.005127563987837912,0.00015591962690152022
0.8,1,oracle,0.005353207574945702,0.005193076046528789,0.0001601315284169125
0.8,2,original,0.006365774972110272,0.006323226263950399,4.254870815987456e-05
0.8,2,min,0.003995300396191821,0.003932911523007855,6.238887318396507e-05
0.8,2,harmonic,0.00375791712265771,0.0037200244363932147,3.789268626449472e-05
0.8,2,oracle,0.003827741878667767,0.003781740364089143,4.6001514578623976e-05
0.8,5,original,0.005522981497447603,0.005518850285557328,4.131211890273896e-06
0.8,5,min,0.0031066494059385358,0.0030975079379181223,9.141468020413677e-06
0.8,5,harmonic,0.003122331372883632,0.003116030883435243,6.300489448388708e-06
0.8,5,oracle,0.0031102099088516854,0.003104199693731798,6.010215119887631e-06
0.8,10,original,0.006013636580638698,0.005930028540111233,8.360804052746576e-05
0.8,10,min,0.003915367303824031,0.003845230964319437,7.013633950459488e-05
0.8,10,harmonic,0.003678995257877407,0.0036383559993731452,4.0639258504261144e-05
0.8,10,oracle,0.0037480345060665935,0.0036999555816287976,4.807892443779528e-05
