alpha,beta,surrogate_h,surrogate_o,ratio_h_over_o
0.05,0.05,4.91112105705501e-06,2.1365412337919447e-05,0.22986315355771186
0.05,0.05,4.557838712864109e-06,9.178605423393111e-06,0.4965720283876398
0.05,0.05,4.954333591614341e-06,9.914284880260566e-06,0.49971668672527914
0.05,0.05,4.733497336729496e-06,1.4173487872444093e-05,0.3339684190178974
0.05,0.05,4.862366365863865e-06,8.450965257457611e-06,0.575362247711649
0.05,0.05,4.975990650504482e-06,3.7650476250067236e-05,0.1321627545281209
0.05,0.05,4.5975183152984e-06,8.886952367620683e-06,0.5173335160486856
0.05,0.05,4.76585388212561e-06,1.0221281913520617e-05,0.46626772673409805
0.05,0.05,4.360721638900464e-06,1.08235721880728e-05,0.40289116782588913
0.05,0.05,4.49156922902013e-06,7.148076683748479e-06,0.6283605265780017
0.05,0.05,5.1359347725304745e-06,1.3321104833922647e-05,0.3855487091019389
0.05,0.05,4.376787638940509e-06,7.2199931840294574e-06,0.6062038463723087
0.05,0.05,4.571661969391253e-06,1.2462138751118315e-05,0.3668440915874898
0.05,0.05,4.916876811192366e-06,1.8655439440877e-05,0.2635626368799824
0.05,0.05,4.203038999147917e-06,7.665651485336609e-06,0.5482950806187553
0.05,0.05,5.1345819555707535e-06,1.0140299206883483e-05,0.5063540878641207
0.05,0.05,5.375607255638292e-06,1.920214352622368e-05,0.2799482905800083
0.05,0.05,4.115705951727616e-06,5.188522719096554e-05,0.07932327127680495
0.05,0.05,4.550705427471823e-06,3.07187028031776e-05,0.14814119777873855
0.05,0.05,5.3518604534504716e-06,1.2014975476548313e-05,0.4454324908025501
0.05,0.05,5.475081722245725e-06,1.8677460796695937e-05,0.29313844006109613
0.05,0.05,4.667574035761901e-06,9.083815805251013e-06,0.5138340688352302
0.05,0.05,4.769409531550796e-06,1.363722085101193e-05,0.3497347138142805
0.05,0.05,4.623664552878208e-06,1.9093879129616986e-05,0.24215427999155645
0.05,0.05,4.872235371938561e-06,9.971926823169857e-06,0.4885951790799227
0.05,0.05,4.707291458701513e-06,2.0151587211999322e-05,0.23359407917499134
0.05,0.05,5.633888497290352e-06,2.0626764051702778e-05,0.2731348690065257
0.05,0.05,4.693182860019948e-06,1.1064384998362244e-05,0.4241702417906314
0.05,0.05,4.557965614103313e-06,2.0053582450854694e-05,0.22728934469806167
0.05,0.05,4.724498209976849e-06,1.0030248243767558e-05,0.4710250529355029
0.05,0.05,5.250800323742058e-06,3.0471875152330633e-05,0.1723162850166919
0.05,0.05,4.450049079469458e-06,1.4238892262605128e-05,0.3125277582973497
0.05,0.05,5.4906886487616e-06,1.3302824167201605e-05,0.4127460890822724
0.05,0.05,5.18358333014147e-06,1.6653059403932702e-05,0.311269131059326
0.05,0.05,4.486207140367568e-06,1.4935988755097353e-05,0.3003622467803824
0.05,0.05,4.618910272875372e-06,1.3321469425806139e-05,0.34672678555472963
0.05,0.05,5.973454961211799e-06,1.8708731669278012e-05,0.3192870081631953
0.05,0.05,5.240854003976417e-06,1.4803880590314425e-05,0.35401893253619554
0.05,0.05,5.051360132212085e-06,1.0984463873292891e-05,0.4598640580441731
0.05,0.05,5.531252630037844e-06,2.0943008296330324e-05,0.26410974735692777
0.05,0.05,5.3737147298328395e-06,2.842007136401417e-05,0.189081676150789
0.05,0.05,5.4522036665937045e-06,1.1332430961838962e-05,0.4811151009835009
0.05,0.05,4.7222327512561785e-06,1.2362602615989847e-05,0.3819772339158116
0.05,0.05,5.38128272793238e-06,1.2092554962816294e-05,0.4450079197059202
0.05,0.05,5.3242241910546285e-06,1.861358187790659e-05,0.2860397437730253
0.05,0.05,4.955571374848929e-06,9.796692704275456e-06,0.505841259335023
0.05,0.05,5.382617989083825e-06,2.9162579547197243e-05,0.18457276662966315
0.05,0.05,4.738074752746434e-06,9.7232503797067e-06,0.487293298816538
0.05,0.05,4.6664192867489455e-06,8.07150468697366e-06,0.5781349906517342
0.05,0.05,4.678343930586767e-06,1.1141834637156874e-05,0.4198899088831359
0.05,0.05,5.2156619202920915e-06,1.2757497435363057e-05,0.40883111650366266
0.05,0.05,5.2855627899179375e-06,1.1095644112184145e-05,0.47636376369658906
0.05,0.05,4.779464014424465e-06,1.1366139751206261e-05,0.42050019787212556
0.05,0.05,5.272524410873146e-06,3.903519173684498e-05,0.13507105194763155
0.05,0.05,4.866104169940396e-06,2.2808490591592045e-05,0.213346172575497
0.05,0.05,5.265862302893338e-06,2.5213207858274955e-05,0.208853325308429
0.05,0.05,4.863893513118815e-06,3.2541556054732565e-05,0.14946714609891718
0.05,0.05,4.816322253647863e-06,8.557405553187891e-06,0.5628250552941994
0.05,0.05,4.306043150480611e-06,6.5785380755752564e-06,0.6545592806505223
0.05,0.05,5.3349707748973245e-06,1.1918082941002248e-05,0.44763665442730016
0.05,0.05,5.5941824747253485e-06,1.2486821210203208e-05,0.448006933113949
0.05,0.05,4.876093467313662e-06,8.1915430535277e-06,0.5952594566677843
0.05,0.05,4.7113782202746366e-06,1.8933600846973964e-05,0.24883688308173169
0.05,0.05,4.723435721254997e-06,9.100136325184606e-06,0.5190510946723842
0.05,0.05,5.012683280493358e-06,8.915291234428795e-06,0.562256817941688
0.05,0.05,5.36619058298736e-06,1.4081615157896938e-05,0.3810777757250391
0.05,0.05,5.668947763070388e-06,3.6368221320105216e-05,0.15587640960424037
0.05,0.05,4.747393210339526e-06,1.8326840949116363e-05,0.25904045457263725
0.05,0.05,5.82276913429109e-06,1.6023449089376444e-05,0.363390497377471
0.05,0.05,4.519358641330064e-06,1.0484377424169185e-05,0.4310564622475132
0.05,0.05,5.421352866662884e-06,2.073181952987959e-05,0.26149913464418295
0.05,0.05,4.058020025842349e-06,7.909426020117273e-06,0.5130612531833479
0.05,0.05,5.148669213445058e-06,3.3876960722010944e-05,0.15198143823155313
0.05,0.05,4.919204251328893e-06,2.839083736580783e-05,0.173267318182495
0.05,0.05,5.168686827079403e-06,4.464428922959885e-05,0.11577487101424386
0.05,0.05,5.615613715217414e-06,2.182917857162274e-05,0.257252635356492
0.05,0.05,5.014452899838436e-06,1.9486030439955362e-05,0.2573357829492297
0.05,0.05,4.863405441405493e-06,8.329465423607889e-06,0.5838796602266128
0.05,0.05,4.311253524051733e-06,6.728258774638301e-06,0.6407680900001498
0.05,0.05,4.483528290659264e-06,9.810452250330375e-06,0.4570154541558752
0.05,0.05,4.837510669844725e-06,2.8657764788121586e-05,0.1688027906436665
0.05,0.05,4.636715160167695e-06,1.6829528853636472e-05,0.2755106931686806
0.05,0.05,4.726149489672247e-06,2.7660859892796334e-05,0.17086054113968702
0.05,0.05,5.090617478510638e-06,1.0524211062601805e-05,0.48370537689046794
0.05,0.05,5.4000006918828515e-06,1.1680692863454481e-05,0.46230140240891837
0.05,0.05,4.81728341900624e-06,1.2596552170236942e-05,0.38242872763139807
0.05,0.05,4.865530229350768e-06,8.450465946168546e-06,0.5757706451153509
0.05,0.05,4.907815530603242e-06,1.242151496381204e-05,0.395106035366968
0.05,0.05,5.164489783866112e-06,2.996914426565103e-05,0.17232690189907635
0.05,0.05,5.042809021938601e-06,1.3184397984852472e-05,0.3824830703481702
0.05,0.05,5.01150610388537e-06,4.7620449085818935e-05,0.10523853092720548
0.05,0.05,4.71558114879041e-06,8.500316431078371e-06,0.554753600883559
0.05,0.05,4.4191773365846695e-06,2.689155672771903e-05,0.16433326569114204
0.05,0.05,5.78152033331533e-06,3.348072625053762e-05,0.1726820466811855
0.05,0.05,4.203629712087406e-06,1.6922235219261805e-05,0.24840865628097447
0.05,0.05,4.411655949776124e-06,7.780305631742698e-06,0.5670286179731946
0.05,0.05,4.131592025677129e-06,9.831790749521702e-06,0.4202278232862231
0.05,0.05,5.036625392433526e-06,1.0705749054013985e-05,0.47045987786768706
0.05,0.05,5.2581151477840295e-06,9.249404229314535e-06,0.5684814953939691
0.05,0.05,4.6017576656902215e-06,8.302491969779528e-06,0.5542622242141622
0.05,0.05,4.449855295412188e-06,1.2891954190804084e-05,0.34516530461970607
0.05,0.05,4.42654725596062e-06,1.1015711543641826e-05,0.40183943074613143
0.05,0.05,5.406538490075573e-06,1.1876093380975508e-05,0.4552455354330901
0.05,0.05,5.054570037554278e-06,9.027777354420058e-06,0.5598908611851763
0.05,0.05,4.732644751027362e-06,7.4807437922766925e-06,0.6326436090370403
0.05,0.05,4.085813131291067e-06,1.6880599817433218e-05,0.2420419401845838
