alpha,beta,rho,worst_ratio,M,b0,frac,harmonic_loses
0.05,0.05,1.0,1.0000000000000002,2,2,1.0,1
0.05,0.08605138429951567,0.5810481772840164,1.0000000000000004,2,2,1.0,1
0.05,0.14809681479725867,0.33761698432507764,1.0000000000000004,10,2,1.0,1
0.05,0.25487871847306215,0.1961717333622126,1.0000000000000004,10,2,1.0,1
0.05,0.4386533310618707,0.1139852281047597,1.0000000000000004,50,2,1.0,1
0.05,0.7549345273093543,0.06623090902757345,1.0000000000000004,2,2,1.0,1
0.05,1.2992632226094094,0.03848334897033504,1.0000000000000004,2,2,1.0,1
0.05,2.2360679774997894,0.0223606797749979,1.0000000000000002,2,2,1.0,1
0.05,3.8483348970335034,0.012992632226094097,1.0000000000000004,2,5,0.0,1
0.05,6.623090902757343,0.007549345273093544,1.0000000000000004,10,2,1.0,1
0.05,11.398522810475967,0.004386533310618708,1.0000000000000007,10,2,1.0,1
0.05,19.61717333622126,0.0025487871847306217,1.0000000000000004,10,2,1.0,1
0.05,33.76169843250776,0.001480968147972587,1.0000000000000002,2,5,0.0,1
0.05,58.10481772840162,0.0008605138429951569,1.0000000000000004,2,5,0.0,1
0.05,100.0,0.0005,1.0000000000000007,2,2,1.0,1
0.08605138429951567,0.05,1.7210276859903133,1.0094313899435068,5,2,0.55,1
0.08605138429951567,0.08605138429951567,1.0,1.0000000000000007,2,2,1.0,1
0.08605138429951567,0.14809681479725867,0.5810481772840163,1.0000000000000004,2,2,1.0,1
0.08605138429951567,0.25487871847306215,0.33761698432507753,1.0000000000000004,10,2,1.0,1
0.08605138429951567,0.4386533310618707,0.1961717333622126,1.0000000000000007,50,2,1.0,1
0.08605138429951567,0.7549345273093543,0.11398522810475968,1.0000000000000002,2,2,1.0,1
0.08605138429951567,1.2992632226094094,0.06623090902757342,1.0000000000000007,10,2,1.0,1
0.08605138429951567,2.2360679774997894,0.038483348970335035,1.0000000000000004,10,2,1.0,1
0.08605138429951567,3.8483348970335034,0.022360679774997897,1.0000000000000004,2,2,1.0,1
0.08605138429951567,6.623090902757343,0.012992632226094092,1.0000000000000007,10,2,1.0,1
0.08605138429951567,11.398522810475967,0.007549345273093543,1.0000000000000007,10,2,1.0,1
0.08605138429951567,19.61717333622126,0.004386533310618707,1.0000000000000004,2,5,0.0,1
0.08605138429951567,33.76169843250776,0.0025487871847306213,1.0000000000000002,2,2,1.0,1
0.08605138429951567,58.10481772840162,0.0014809681479725867,1.0000000000000004,10,2,1.0,1
0.08605138429951567,100.0,0.0008605138429951567,1.0000000000000009,10,2,1.0,1
0.14809681479725867,0.05,2.9619362959451734,1.1039353133828618,200,5,0.75,1
0.14809681479725867,0.08605138429951567,1.7210276859903137,1.0094313899435066,5,2,0.55,1
0.14809681479725867,0.14809681479725867,1.0,1.0000000000000004,10,2,1.0,1
0.14809681479725867,0.25487871847306215,0.5810481772840161,1.0000000000000002,2,2,1.0,1
0.14809681479725867,0.4386533310618707,0.3376169843250776,1.0000000000000004,10,2,1.0,1
0.14809681479725867,0.7549345273093543,0.1961717333622126,1.0000000000000007,10,2,1.0,1
0.14809681479725867,1.2992632226094094,0.11398522810475967,1.0000000000000004,2,2,1.0,1
0.14809681479725867,2.2360679774997894,0.06623090902757343,1.0000000000000004,10,2,1.0,1
0.14809681479725867,3.8483348970335034,0.038483348970335035,1.0000000000000002,2,2,1.0,1
0.14809681479725867,6.623090902757343,0.022360679774997894,1.0000000000000007,50,2,1.0,1
0.14809681479725867,11.398522810475967,0.012992632226094094,1.0000000000000004,2,2,1.0,1
0.14809681479725867,19.61717333622126,0.007549345273093543,1.0000000000000002,10,2,1.0,1
0.14809681479725867,33.76169843250776,0.004386533310618708,1.0000000000000002,2,2,1.0,1
0.14809681479725867,58.10481772840162,0.0025487871847306213,1.0000000000000007,10,2,1.0,1
0.14809681479725867,100.0,0.0014809681479725867,1.0000000000000002,2,2,1.0,1
0.25487871847306215,0.05,5.097574369461243,1.3218325180427075,200,5,0.7000000000000001,1
0.25487871847306215,0.08605138429951567,2.961936295945174,1.1039353133828618,200,5,0.75,1
0.25487871847306215,0.14809681479725867,1.7210276859903137,1.0094313899435068,5,2,0.55,1
0.25487871847306215,0.25487871847306215,1.0,1.0000000000000004,50,2,1.0,1
0.25487871847306215,0.4386533310618707,0.5810481772840163,1.0000000000000007,10,2,1.0,1
0.25487871847306215,0.7549345273093543,0.33761698432507764,1.0000000000000004,50,2,1.0,1
0.25487871847306215,1.2992632226094094,0.1961717333622126,1.0000000000000002,10,2,1.0,1
0.25487871847306215,2.2360679774997894,0.1139852281047597,1.0000000000000007,10,2,1.0,1
0.25487871847306215,3.8483348970335034,0.06623090902757343,1.0000000000000004,2,2,1.0,1
0.25487871847306215,6.623090902757343,0.038483348970335035,1.0000000000000004,50,2,1.0,1
