scheme,n_pairs,ESS,Vk_plus_Vkp,asym,R_hat,boot_R,boot_std,f,rep,n_imp_subsample,seed
uniform,4284,4284.0,0.00032240545798380713,0.000245039283413669,1.7233971240452484,1.7227248744615453,0.05343906525902983,0.001,0,235364,1000
min,4284,336.7676213013283,0.00015351883877745104,0.00011768924181095878,1.8077396075567966,1.8157727897858518,0.08839180230170658,0.001,0,235364,1000
harmonic,4284,242.76187649026429,0.00014714051893574423,0.00011426007143002016,1.828848329252145,1.8367313409774224,0.09049314089904312,0.001,0,235364,1000
uniform,4249,4249.0,0.00032658249979623257,0.00024840815600393973,1.6389641078070831,1.6467910713160612,0.05270299427180994,0.001,1,235875,1001
min,4249,338.5370247259717,0.0001538789611096296,0.00011809739357335528,1.922453074048775,1.9335239041320784,0.09128585266132706,0.001,1,235875,1001
harmonic,4249,242.74260689625333,0.00014741657172912198,0.00011477946799521153,1.9578245596872665,1.969081211551115,0.09442633080317288,0.001,1,235875,1001
uniform,4283,4283.0,0.0003236364338829711,0.00024613832225685317,1.7577869644914763,1.7568295812947081,0.058292439279222445,0.001,2,235348,1002
min,4283,333.09322891078807,0.00015481423812085327,0.00011870574818898753,1.8619712661793555,1.871587947804056,0.0979969640947986,0.001,2,235348,1002
harmonic,4283,234.3458618560532,0.0001483304375929026,0.00011536441543890347,1.8624617863570834,1.8717026072045948,0.09846251768585326,0.001,2,235348,1002
uniform,14822,14822.0,9.283903218104447e-05,7.053520301801023e-05,1.6277166069355127,1.6271404261728428,0.02570627306524042,0.003,0,705791,3000
min,14822,553.9318559928411,4.0686793226679785e-05,3.1196237992027714e-05,1.9122640383195182,1.908530071803029,0.05523169470298293,0.003,0,705791,3000
harmonic,14822,400.408495665767,3.907986080147312e-05,3.0357055580296964e-05,1.896821441959764,1.892653889087564,0.05602748767462056,0.003,0,705791,3000
uniform,14821,14821.0,9.263422929449677e-05,7.0355116526971e-05,1.5643628829925742,1.5669040013033966,0.02675951687129097,0.003,1,706131,3001
