scheme,n_pairs,Vk_plus_Vkp,asym,R_hat,click_boot_std,qad_boot_std,f,rep,mode,n_imp,seed
uniform,4284,0.00032240545798380713,0.000245039283413669,1.7233971240452484,0.053351852913447524,0.1424795805907735,0.001,0,impression,235364,1000
min,4284,0.00015351883877745104,0.00011768924181095878,1.8077396075567966,0.09227628716100132,0.1172126086901479,0.001,0,impression,235364,1000
harmonic,4284,0.00014714051893574423,0.00011426007143002016,1.828848329252145,0.09511599173794887,0.11886286992117061,0.001,0,impression,235364,1000
uniform,4249,0.00032658249979623257,0.00024840815600393973,1.6389641078070831,0.053685107437703224,0.1477696629526194,0.001,1,impression,235875,1001
min,4249,0.0001538789611096296,0.00011809739357335528,1.922453074048775,0.09673516926340202,0.13270623885514574,0.001,1,impression,235875,1001
harmonic,4249,0.00014741657172912198,0.00011477946799521153,1.9578245596872665,0.10082564944107601,0.13920164296371232,0.001,1,impression,235875,1001
uniform,4283,0.0003236364338829711,0.00024613832225685317,1.7577869644914763,0.0584575394846814,0.1627933463358343,0.001,2,impression,235348,1002
min,4283,0.00015481423812085327,0.00011870574818898753,1.8619712661793555,0.0943184585406184,0.11780755082431014,0.001,2,impression,235348,1002
harmonic,4283,0.0001483304375929026,0.00011536441543890347,1.8624617863570834,0.09762614232085133,0.11660199387184295,0.001,2,impression,235348,1002
uniform,14822,9.283903218104447e-05,7.053520301801023e-05,1.6277166069355127,0.026826841066533377,0.07090574831910745,0.003,0,impression,705791,3000
min,14822,4.0686793226679785e-05,3.1196237992027714e-05,1.9122640383195182,0.052248303586190134,0.06721465758475728,0.003,0,impression,705791,3000
harmonic,14822,3.907986080147312e-05,3.0357055580296964e-05,1.896821441959764,0.05293324755041211,0.06503921392463466,0.003,0,impression,705791,3000
uniform,14821,9.263422929449677e-05,7.0355116526971e-05,1.5643628829925742,0.027038833903220497,0.06683978433670784,0.003,1,impression,706131,3001
min,14821,4.0666559908584754e-05,3.117226232161416e-05,1.8270126613098747,0.050085828347963976,0.06657616723373261,0.003,1,impression,706131,3001
harmonic,14821,3.906166761246157e-05,3.032560774845227e-05,1.8089296932934547,0.05032728763366856,0.06469653932065153,0.003,1,impression,706131,3001
uniform,14745,9.32838287294285e-05,7.080407359215613e-05,1.7716220857235796,0.029043113623834486,0.07949796945201594,0.003,2,impression,706738,3002
min,14745,4.0433445722377576e-05,3.098020264176104e-05,1.898589402595812,0.04685569656490709,0.06510315608522614,0.003,2,impression,706738,3002
harmonic,14745,3.8841582048585656e-05,3.015561141606363e-05,1.8859906412411231,0.04774062222230722,0.0653130938949177,0.003,2,impression,706738,3002
uniform,53981,2.482648121070687e-05,1.883600483550475e-05,1.57066088249925,0.014327389056155333,0.04002512805596646,0.01,0,impression,2352652,10000
min,53981,9.726642360228184e-06,7.453454943108714e-06,1.7617510118044388,0.023060236864523742,0.0371698257342478,0.01,0,impression,2352652,10000
harmonic,53981,9.358330035740096e-06,7.260808107993798e-06,1.7571648845840906,0.023317781097932547,0.03781366402069561,0.01,0,impression,2352652,10000
uniform,54010,2.4805784857249142e-05,1.8811141426204037e-05,1.6245823801643178,0.013613569074882158,0.03924225875996321,0.01,1,impression,2355387,10001
min,54010,9.667861601682278e-06,7.406744206520673e-06,1.8149293155259663,0.024054791449656346,0.039426289830986165,0.01,1,impression,2355387,10001
harmonic,54010,9.305103974546295e-06,7.218379327369758e-06,1.8133144297235089,0.024012428764350856,0.03991036666145061,0.01,1,impression,2355387,10001
uniform,53910,2.486034524083369e-05,1.8855748486949735e-05,1.6726608142833352,0.01515765977171629,0.0396511836670943,0.01,2,impression,2352965,10002
min,53910,9.697364757604423e-06,7.427109222745084e-06,1.8129637559292795,0.023648960970213767,0.03670504894500375,0.01,2,impression,2352965,10002
harmonic,53910,9.331307653909844e-06,7.23735718592059e-06,1.811108417603593,0.023906463220839173,0.03708193779570709,0.01,2,impression,2352965,10002
uniform,166241,7.81375365712606e-06,5.923175294829414e-06,1.543628794891439,0.00798565705406347,0.02358761845100274,0.03,0,impression,7066960,30000
min,166241,2.7174347292436695e-06,2.0800706343067388e-06,1.739920741822327,0.01199155656951046,0.025057471336331707,0.03,0,impression,7066960,30000
harmonic,166241,2.618125862300816e-06,2.028564260864623e-06,1.7452228247907895,0.012206360604710214,0.0254054840854761,0.03,0,impression,7066960,30000
uniform,166556,7.81044772446003e-06,5.922676095802067e-06,1.5496655376597808,0.007647305762888611,0.02198939248075384,0.03,1,impression,7067662,30001
min,166556,2.717925464662749e-06,2.0807142760308485e-06,1.7393325426577446,0.011819406375728045,0.022698085834472904,0.03,1,impression,7067662,30001
harmonic,166556,2.618161562965661e-06,2.029113539841778e-06,1.740228516826176,0.01195930108768159,0.02390004583475072,0.03,1,impression,7067662,30001
uniform,166956,7.778167311943887e-06,5.895611110947145e-06,1.51978287660235,0.007624956846771645,0.02003925844187948,0.03,2,impression,7069268,30002
min,166956,2.716359266350947e-06,2.0790576506956695e-06,1.7169029348415892,0.01097685007697319,0.02299816867952982,0.03,2,impression,7069268,30002
harmonic,166956,2.6166702384336916e-06,2.02719644791062e-06,1.7187375888265384,0.011087160727825965,0.0231915450029709,0.03,2,impression,7069268,30002
uniform,542465,2.320419527705429e-06,1.7585367416163693e-06,1.5388453294894766,0.005043178526871427,0.012526018825793288,0.1,0,impression,23564313,100000
min,542465,6.945430198627223e-07,5.312685452158528e-07,1.716414680181664,0.0064647880141182135,0.01832319590966455,0.1,0,impression,23564313,100000
harmonic,542465,6.699383805183401e-07,5.185179094268297e-07,1.7145344241400733,0.006422186937718961,0.018785277250505533,0.1,0,impression,23564313,100000
uniform,541936,2.3226094063767726e-06,1.760603151642384e-06,1.5493063279563142,0.005162092010842051,0.012601801619361456,0.1,1,impression,23563585,100001
min,541936,6.956740849265654e-07,5.320651652840266e-07,1.7219761115962238,0.006405796272592164,0.01991766876311931,0.1,1,impression,23563585,100001
harmonic,541936,6.709728237904063e-07,5.192016033850297e-07,1.7213705127933467,0.006330659354489742,0.021091636132704022,0.1,1,impression,23563585,100001
uniform,542520,2.3215810727899386e-06,1.7593925196831635e-06,1.5394460902748384,0.004876602471490663,0.012373319472891713,0.1,2,impression,23556402,100002
min,542520,6.956486789529067e-07,5.32071903868678e-07,1.7086288196508774,0.0064568475363885785,0.01684896544522472,0.1,2,impression,23556402,100002
harmonic,542520,6.708961834049536e-07,5.192179918015852e-07,1.7085394105672416,0.006444088368605504,0.017213537555332826,0.1,2,impression,23556402,100002
uniform,1533253,8.048442849967077e-07,6.102347520769048e-07,1.5426216599471567,0.0029627263379401543,0.007606244487484527,0.3,0,impression,70674136,300000
min,1533253,2.0581255863251257e-07,1.5731660332391177e-07,1.6918643143333747,0.0034997397555630713,0.015431079618975035,0.3,0,impression,70674136,300000
harmonic,1533253,1.986592390078675e-07,1.536036784759018e-07,1.6907453537483514,0.003458717428747799,0.0157324274990552,0.3,0,impression,70674136,300000
