scheme,n_pairs,Vk_plus_Vkp,asym,R_hat,click_boot_std,qad_boot_std,f,rep,mode,n_imp,seed,target_rows
uniform,2948,0.0004783437890903345,0.0003632765685140982,2.0550819353139023,0.05670708596980365,0.21188957753625817,0.0013365490257376239,0,samuechan,199640,10200000,200000
min,2948,0.0002488829240126204,0.00019039348522871145,2.054605717928796,0.09712643350213955,0.19761748363835274,0.0013365490257376239,0,samuechan,199640,10200000,200000
harmonic,2948,0.00023898511946150285,0.0001852040376388268,2.043460131767193,0.09723300910871525,0.17595129118265984,0.0013365490257376239,0,samuechan,199640,10200000,200000
uniform,2944,0.0004837467565721134,0.00036722491691062976,1.9277190850550094,0.05519206082503517,0.26981727034537695,0.0013365490257376239,1,samuechan,200280,10200001,200000
min,2944,0.00024468680681518436,0.0001873390537186031,2.343512875039246,0.09106900101403113,0.5144677065707248,0.0013365490257376239,1,samuechan,200280,10200001,200000
harmonic,2944,0.00023504647783298717,0.00018214710581831943,2.3336266413557736,0.0946553963334503,0.5220289488226771,0.0013365490257376239,1,samuechan,200280,10200001,200000
uniform,2974,0.0004771427040780386,0.00036235962574861257,1.680714890155511,0.05108686552063684,0.18766137122494972,0.0013365490257376239,2,samuechan,200677,10200002,200000
min,2974,0.000245622949798384,0.00018808851668680905,1.2576713195710816,0.0927869703043493,0.3181860525067516,0.0013365490257376239,2,samuechan,200677,10200002,200000
harmonic,2974,0.000236063284502528,0.0001829816682384874,1.278170145072776,0.09434769612719006,0.3081933163390839,0.0013365490257376239,2,samuechan,200677,10200002,200000
uniform,18854,7.408045451450055e-05,5.612734617634551e-05,1.629910569131783,0.016801452890149803,0.06829693446995887,0.0066827451286881195,0,samuechan,1000704,11000000,1000000
min,18854,3.336212741676683e-05,2.550666243715598e-05,1.726515652951519,0.02922296176586098,0.09959622858120697,0.0066827451286881195,0,samuechan,1000704,11000000,1000000
harmonic,18854,3.212124435076986e-05,2.484898824557047e-05,1.730908024973738,0.02901613862452908,0.10579552843538644,0.0066827451286881195,0,samuechan,1000704,11000000,1000000
uniform,18543,7.514356043764731e-05,5.703420082450382e-05,1.703210534501828,0.018773106474509832,0.08988839862544883,0.0066827451286881195,1,samuechan,999386,11000001,1000000
min,18543,3.3687843607574575e-05,2.5776124179918788e-05,1.8111015288173458,0.030695622861766695,0.15310134218774532,0.0066827451286881195,1,samuechan,999386,11000001,1000000
harmonic,18543,3.2442639001998435e-05,2.5130652114967018e-05,1.8085350481417337,0.03044390029806024,0.17018115175926832,0.0066827451286881195,1,samuechan,999386,11000001,1000000
uniform,18647,7.496814117799687e-05,5.6909144317861054e-05,1.8123728410050304,0.018879170819092125,0.07376106006197461,0.0066827451286881195,2,samuechan,999989,11000002,1000000
min,18647,3.360214011449509e-05,2.5713727877275105e-05,2.0265615192455,0.03359263379964465,0.09684690734813396,0.0066827451286881195,2,samuechan,999989,11000002,1000000
harmonic,18647,3.2347780807314896e-05,2.5055925127546198e-05,2.04228501184007,0.034213081848044745,0.09438994716792808,0.0066827451286881195,2,samuechan,999989,11000002,1000000
uniform,113569,1.2301207855936842e-05,9.31404821407167e-06,1.5794945839448593,0.007463312638774324,0.03476717277781584,0.0334137256434406,0,samuechan,4997020,15000000,5000000
min,113569,4.900981536599929e-06,3.74415398424712e-06,1.7915898952114444,0.01237247537900484,0.040036643669398665,0.0334137256434406,0,samuechan,4997020,15000000,5000000
harmonic,113569,4.72360421972588e-06,3.6497579750822997e-06,1.810236088385322,0.012308340508918792,0.041185971656686776,0.0334137256434406,0,samuechan,4997020,15000000,5000000
uniform,113531,1.2296168102084814e-05,9.310944475621603e-06,1.612043735241843,0.007353662651942042,0.05380266662914631,0.0334137256434406,1,samuechan,5001244,15000001,5000000
min,113531,4.896107142875176e-06,3.74144602914815e-06,1.7377412623731867,0.011347392218411693,0.04168066819811992,0.0334137256434406,1,samuechan,5001244,15000001,5000000
harmonic,113531,4.7185652802650725e-06,3.6475704410398074e-06,1.7473943479131004,0.01131405760923544,0.040575549331107984,0.0334137256434406,1,samuechan,5001244,15000001,5000000
uniform,113129,1.2322750598062774e-05,9.33244192856756e-06,1.5813062209712432,0.008146387021472381,0.03348141585518159,0.0334137256434406,2,samuechan,4995900,15000002,5000000
min,113129,4.907621064967642e-06,3.7490449757302553e-06,1.7770798619384087,0.012867910190497068,0.04363092937588365,0.0334137256434406,2,samuechan,4995900,15000002,5000000
harmonic,113129,4.729779164517779e-06,3.655471493401676e-06,1.7777203040417684,0.01292962999670109,0.04216245504909243,0.0334137256434406,2,samuechan,4995900,15000002,5000000
