f,scheme,n_imp,n_pairs,n_queries,click_std,qad_std,query_std,Vk_plus_Vkp,R_hat
0.001,harmonic,235529.0,4272.0,2734.0,0.09785592783329207,0.12488883558557529,0.13691115577353544,0.00014762917608592292,1.883044891765498
0.001,min,235529.0,4272.0,2734.0,0.09444330498834058,0.12257546612320125,0.13716981766289182,0.00015407067933597798,1.8640546492616423
0.001,uniform,235529.0,4272.0,2734.0,0.055164833278610714,0.15101419662640905,0.15090729266870592,0.0003242081305543369,1.7067160654479359
0.003,harmonic,706220.0,14796.0,8855.0,0.05033371913546263,0.06501628238006796,0.08522819417899062,3.8994370154173446e-05,1.8639139254981139
0.003,min,706220.0,14796.0,8855.0,0.0497299428330204,0.066297993634572,0.08832745881457164,4.059559961921404e-05,1.879288700741735
0.003,uniform,706220.0,14796.0,8855.0,0.027636262864529453,0.07241450070261041,0.08686597758542114,9.291903006832323e-05,1.6545671918838887
0.01,harmonic,2353668.0,53967.0,29376.0,0.023745557694374194,0.03826865615928444,0.04981161649033782,9.331580554732078e-06,1.7938625773037309
0.01,min,2353668.0,53967.0,29376.0,0.023587996428131284,0.03776705483674591,0.05019709861921457,9.697289573171628e-06,1.796548027753228
0.01,uniform,2353668.0,53967.0,29376.0,0.014366205967584594,0.03963952349434133,0.04176814953627065,2.4830870436263233e-05,1.6226346923156345
0.03,harmonic,7067963.333333333,166584.33333333334,83294.0,0.011750940806739255,0.024165691641065908,0.03892091915228308,2.617652554566723e-06,1.7347296434811679
0.03,min,7067963.333333333,166584.33333333334,83294.0,0.011595937674070564,0.02358457528344481,0.0388350691326872,2.7172398200857884e-06,1.7320520731072202
0.03,uniform,7067963.333333333,166584.33333333334,83294.0,0.007752639887907908,0.02187208979121202,0.023642456860156633,7.800789564509992e-06,1.5376924030511898
0.1,harmonic,23561433.333333332,542307.0,259377.0,0.006398978220271402,0.019030150312847462,0.0283241308320895,6.706024625712333e-07,1.7148147825002205
0.1,min,23561433.333333332,542307.0,259377.0,0.006442477274366319,0.01836327670600286,0.0285572684050969,6.952885945807315e-07,1.7156732038095885
0.1,uniform,23561433.333333332,542307.0,259377.0,0.005027291003068047,0.01250037997268215,0.013121134706668447,2.32153666895738e-06,1.542532582573543
0.3,harmonic,70675772.66666667,1531815.6666666667,730825.3333333334,0.0035446777966294443,0.01551286054452585,0.026996861158293108,1.9874678704405495e-07,1.690663736290032
0.3,min,70675772.66666667,1531815.6666666667,730825.3333333334,0.003610031917970927,0.014973744388554894,0.027273018590384262,2.0590600054615085e-07,1.691315055612705
0.3,uniform,70675772.66666667,1531815.6666666667,730825.3333333334,0.0029338793454208897,0.007417879810215679,0.008374188120269195,8.053716767718012e-07,1.5424175337041024
1.0,harmonic,235582879.0,4613072.0,2094739.0,0.001983937608139508,0.014126423516511505,0.024830280544824168,5.369680756208592e-08,1.6790349472740533
1.0,min,235582879.0,4613072.0,2094739.0,0.0020038321164998134,0.01374834003461043,0.025088356379637064,5.559389877773334e-08,1.6803054057655433
1.0,uniform,235582879.0,4613072.0,2094739.0,0.0016250234500979743,0.004367103902352998,0.00460946871122567,2.5997654069345166e-07,1.5415161831419761
