f,rep,n_imp,n_pairs,n_queries,scheme,Vk_plus_Vkp,asym_aVk_bVkp_at_05_1,R_hat,click_std,qad_std,query_std
0.001,0,235364,4284,2736,uniform,0.00032240545798380713,0.000245039283413669,1.7233971240452484,0.053351852913447524,0.1424795805907735,0.14244475311324392
0.001,0,235364,4284,2736,harmonic,0.00014714051893574423,0.00011426007143002016,1.828848329252145,0.09511599173794887,0.11886286992117061,0.1279060698635675
0.001,0,235364,4284,2736,oracle_a0.5_b1.0,0.00015085641875600616,0.00011162464510009739,1.8095623466781892,0.0933965035434257,0.11569443582456668,0.12214989269449782
0.001,0,235364,4284,2736,oracle_a0.1_b0.7,0.00017803358667140522,0.00012022271264084856,1.7868075846349947,0.0951707860518361,0.11555314266595348,0.11827955513602291
0.001,0,235364,4284,2736,oracle_a0.05_b1.0,0.00022016014147727679,0.00013928615022604744,1.774689574402625,0.09893768219742463,0.11916192620840284,0.1211721244936337
0.001,0,235364,4284,2736,full_oracle,0.00025732869234001976,0.00018668669954565484,1.463503585448709,2.312967852177605e-08,0.2361003355672692,0.21353761068016897
0.001,1,235875,4249,2756,uniform,0.00032658249979623257,0.00024840815600393973,1.6389641078070831,0.053685107437703224,0.1477696629526194,0.14828429084316727
0.001,1,235875,4249,2756,harmonic,0.00014741657172912198,0.00011477946799521153,1.9578245596872665,0.10082564944107601,0.13920164296371232,0.15439931616156186
0.001,1,235875,4249,2756,oracle_a0.5_b1.0,0.00015120068055507626,0.00011208694516132579,1.9547679721565647,0.09994291034337205,0.13635662605151774,0.15009067059520967
0.001,1,235875,4249,2756,oracle_a0.1_b0.7,0.00017869516526557058,0.00012078490567939398,1.9535847954302394,0.10396058304792788,0.1402018219200722,0.14895232891119298
0.001,1,235875,4249,2756,oracle_a0.05_b1.0,0.00022166074672238395,0.00014022904994526344,1.9464880007504348,0.1101176096204546,0.14533366819867483,0.15065584031446738
0.001,1,235875,4249,2756,full_oracle,0.0002515452215365015,0.00018303019198132313,1.5739670607424774,2.4066050887171074e-08,0.25020932801866763,0.27242689617277055
0.01,0,2352652,53981,29431,uniform,2.482648121070687e-05,1.883600483550475e-05,1.57066088249925,0.014327389056155333,0.04002512805596646,0.0378669479091007
0.01,0,2352652,53981,29431,harmonic,9.358330035740096e-06,7.260808107993798e-06,1.7571648845840906,0.023317781097932547,0.03781366402069561,0.051013648693775046
0.01,0,2352652,53981,29431,oracle_a0.5_b1.0,9.5892544332939e-06,7.095851255500675e-06,1.7681846879236258,0.022848766242991637,0.03637014686635437,0.05072307878130085
0.01,0,2352652,53981,29431,oracle_a0.1_b0.7,1.1228893651967088e-05,7.613406101652733e-06,1.780426204281977,0.02314119405217268,0.03641168644970136,0.05138371829257731
0.01,0,2352652,53981,29431,oracle_a0.05_b1.0,1.3842163394087449e-05,8.796834982059033e-06,1.781813167199455,0.02416625244749553,0.03888191420783584,0.05251207922003349
0.01,0,2352652,53981,29431,full_oracle,1.920580000301747e-05,1.4004379921431802e-05,1.5446708461578715,9.080819935792086e-09,0.07321655333647828,0.06712052967315026
0.01,1,2355387,54010,29420,uniform,2.4805784857249142e-05,1.8811141426204037e-05,1.6245823801643178,0.013613569074882158,0.03924225875996321,0.046949634591740876
0.01,1,2355387,54010,29420,harmonic,9.305103974546295e-06,7.218379327369758e-06,1.8133144297235089,0.024012428764350856,0.03991036666145061,0.05206206148433817
0.01,1,2355387,54010,29420,oracle_a0.5_b1.0,9.531425761625841e-06,7.056592653410471e-06,1.8171832089586455,0.023833775271822844,0.03855286987237885,0.051640938011319845
0.01,1,2355387,54010,29420,oracle_a0.1_b0.7,1.1135603655335392e-05,7.562965604819405e-06,1.8250162546781223,0.0246852950170151,0.03875854085849262,0.052219033580475485
0.01,1,2355387,54010,29420,oracle_a0.05_b1.0,1.3716362183593704e-05,8.731875420896831e-06,1.8327041579992651,0.02649849732657145,0.041146206553920164,0.05406391176872695
0.01,1,2355387,54010,29420,full_oracle,1.9298192433407795e-05,1.408365659420454e-05,1.723936816381136,1.1687337393290858e-08,0.08472491652541114,0.08850785276541011
0.1,0,23564313,542465,259336,uniform,2.320419527705429e-06,1.7585367416163693e-06,1.5388453294894766,0.005043178526871427,0.012526018825793288,0.013443928562661394
0.1,0,23564313,542465,259336,harmonic,6.699383805183401e-07,5.185179094268297e-07,1.7145344241400733,0.006422186937718961,0.018785277250505533,0.030299848766196767
0.1,0,23564313,542465,259336,oracle_a0.5_b1.0,6.862532056758676e-07,5.068267306530115e-07,1.7174261594916826,0.006334124967379922,0.018087624134254975,0.030168755451603305
