f,n_imp,n_pairs,scheme,R_hat,Vtilde,SE,ESS,ARE_vs_uniform,n_hi,cochran_Q,Q_df,cochran_Q_hi,Q_hi_df,calib_empirical_std
0.001,235380,4326,uniform,1.6843210657257706,0.00601600360674103,0.13064082802104188,4326.0,1.0,3,226.71475241690223,4325,1.59551385843018,2,0.13213051003548973
0.001,235380,4326,min,1.8488949634607892,0.003703609295933017,0.11251873013197933,334.4035859930356,1.6243623789764443,3,234.47328947858674,4325,1.59551385843018,2,
0.001,235380,4326,harmonic,1.849235732541285,0.003621591410605601,0.11128637661308785,237.7765673089755,1.661149181302878,3,234.4913260374052,4325,1.59551385843018,2,0.1119933568020766
0.001,235380,4326,count_oracle_a0.5_b1,1.8470051001621557,0.003592107238302625,0.11069875625814837,226.36448323965857,1.6747839659663852,3,234.3733941031692,4325,1.59551385843018,2,
0.001,235380,4326,full_theta_oracle,2.821045561810735,0.09086557006621099,0.8503736179723437,3.313382112084956,0.06620773525502949,3,303.8035426145144,4325,1.59551385843018,2,
0.01,2356145,53773,uniform,1.7225544020978183,0.0005055773998587916,0.038731719038008594,53773.0,1.0,77,3180.6298607198337,53772,169.96522078986257,76,0.037868074027373855
0.01,2356145,53773,min,1.8492121418790284,0.00023350726418530431,0.028257708070855148,841.5018607577472,2.1651463461863893,77,3246.4228639025278,53772,169.96522078986257,76,
0.01,2356145,53773,harmonic,1.8490161533108123,0.00022892766749232126,0.027976272331949555,604.8398574846397,2.208459140814641,77,3246.3028339470534,53772,169.96522078986257,76,0.028467821618375706
0.01,2356145,53773,count_oracle_a0.5_b1,1.8583835714002308,0.00022610124553962854,0.027943888190124663,569.9155490962669,2.2360664075606764,77,3252.097974942209,53772,169.96522078986257,76,
0.01,2356145,53773,full_theta_oracle,2.679245914122764,0.025457921483707197,0.4274881183852698,2.3767981547767016,0.019859335342139215,77,4064.5399717736627,53772,169.96522078986257,76,
0.1,23549994,541627,uniform,1.6946341036383283,5.099317671117307e-05,0.012101298566234648,541627.0,1.0,1261,37026.800019892624,541626,3793.1918322141037,1260,
0.1,23549994,541627,min,1.7582388721815325,1.7043435607881525e-05,0.0072586599208829,1645.0996696775537,2.991954080408055,1261,37381.85764730016,541626,3793.1918322141037,1260,
0.1,23549994,541627,harmonic,1.7546021934526128,1.663308671744967e-05,0.007155913691052568,1191.20839304376,3.065767501691459,1261,37358.733946370005,541626,3793.1918322141037,1260,
0.1,23549994,541627,count_oracle_a0.5_b1,1.7590526926624221,1.6456251264155027e-05,0.007135826858499977,1129.8559472963764,3.0987116016055434,1261,37387.07738649479,541626,3793.1918322141037,1260,
0.1,23549994,541627,full_theta_oracle,2.4549172065995664,0.011553755779810682,0.2638751186188141,2.0844130946638026,0.004413558472499463,1261,46047.51495031946,541626,3793.1918322141037,1260,
1.0,235582879,4613072,uniform,1.6834081771119929,6.331085754577121e-06,0.0042357325510919775,4613072.0,1.0,16132,361912.0830710479,4613071,61692.582437493285,16131,
1.0,235582879,4613072,min,1.7121604259623937,1.4351220352021067e-06,0.002051109618146437,2526.169068671077,4.411531283947933,16132,363411.08602112887,4613071,61692.582437493285,16131,
1.0,235582879,4613072,harmonic,1.7095161964841468,1.3989108174090615e-06,0.0020219398605199478,1849.4539546217613,4.525725068237728,16132,363260.6339131298,4613071,61692.582437493285,16131,
1.0,235582879,4613072,count_oracle_a0.5_b1,1.714688695671588,1.3853668469108439e-06,0.0020182161628712887,1760.148325972674,4.569970595654482,16132,363557.28125954926,4613071,61692.582437493285,16131,
1.0,235582879,4613072,full_theta_oracle,2.343480005564831,0.003985318349988037,0.14794243479716937,1.1181008856568821,0.0015886022642572898,16132,450780.65909411665,4613071,61692.582437493285,16131,
