split,ratio,scheme,mean_MSE,SE_MSE,delta_MSE,CI95_lo,CI95_hi
0.8,1,original,0.0021248744861470585,0.00015688400469562514,,,
0.8,1,min,0.001447347652570138,7.796422292118e-05,,,
0.8,1,harmonic,0.001412362743852671,7.804880580645675e-05,,,
0.8,1,harmonic-original (paired),,,-0.0007125117422943876,-0.0009885942278728915,-0.0004888292757335592
0.8,1,harmonic-min (paired),,,-3.4984908717467304e-05,-6.218304671408793e-05,-7.683133241438101e-06
0.8,10,original,0.0014448455204795526,6.975344792436685e-05,,,
0.8,10,min,0.0007934727417737934,3.749779635261623e-05,,,
0.8,10,harmonic,0.0007754708557759348,3.4798926481752836e-05,,,
0.8,10,harmonic-original (paired),,,-0.0006693746647036179,-0.0007964604251491805,-0.0005554265011690141
0.8,10,harmonic-min (paired),,,-1.8001885997858507e-05,-3.58127838062859e-05,-3.191041260641855e-07
0.8,50,original,0.001426744412880465,6.607591544969587e-05,,,
0.8,50,min,0.0007208134260239067,3.138952101452006e-05,,,
0.8,50,harmonic,0.0007128696964040673,3.099532619541703e-05,,,
0.8,50,harmonic-original (paired),,,-0.0007138747164763977,-0.0008404107409852315,-0.0005943469821569902
0.8,50,harmonic-min (paired),,,-7.943729619839506e-06,-2.5343693713525718e-05,9.277892431102871e-06
0.8,100,original,0.0014659655665679732,0.00011306191393589438,,,
0.8,100,min,0.0007313310109717704,4.0031807483641784e-05,,,
0.8,100,harmonic,0.0007193840449982962,3.841856452897064e-05,,,
0.8,100,harmonic-original (paired),,,-0.0007465815215696767,-0.0009510835691168987,-0.0005782843238934155
0.8,100,harmonic-min (paired),,,-1.194696597347415e-05,-3.136588812419589e-05,7.570118059397731e-06
