split,ratio,scheme,mean_MSE,SE_MSE,n_trials_complete
0.8,10,original,0.0016686230368147274,0.0001003167900308834,500
0.8,10,harmonic,0.0007868744594632681,3.813031738891566e-05,500
0.8,10,plugin,0.0007844865799635794,3.816566078968334e-05,500
0.8,10,true_oracle,0.0007846522043517823,3.821481447301134e-05,500
0.8,50,original,0.0015803994109175967,7.304321810096029e-05,500
0.8,50,harmonic,0.0007307564435719069,3.371732416595778e-05,500
0.8,50,plugin,0.0007295172068936125,3.364826117137619e-05,500
0.8,50,true_oracle,0.0007300304924833574,3.369694153356923e-05,500
0.8,100,original,0.0014925673469385963,8.490177092247234e-05,500
0.8,100,harmonic,0.0007235855878975717,3.217049062650152e-05,500
0.8,100,plugin,0.0007223336065525102,3.208086938474075e-05,500
0.8,100,true_oracle,0.0007222873426553246,3.20507886474251e-05,500
